app,keyCount,mouseCount,freq,year,month,day,hour
MuMuPlayer,0,260,2.9261904761904765,2024,09,30,16
MuMuPlayer,0,6,0.2,2024,09,30,18
MuMuPlayer,0,159,2.6761904761904765,2024,09,30,21
MuMuPlayer,0,3,0.1666666666666666,2024,09,30,22
steamwebhelper,0,2,2.5,2024,09,30,12
PgyVisitorEnt,0,1,0.2,2024,09,30,09
PgyVisitorEnt,0,1,0.1428571428571428,2024,09,30,16
PgyVisitorEnt,0,1,0.2,2024,09,30,19
Code,0,14,0.5333333333333333,2024,09,30,17
Code,247,271,9.176190476190476,2024,09,30,18
Code,89,978,13.617857142857138,2024,09,30,19
Code,347,537,7.649999999999999,2024,09,30,20
Code,45,665,9.65952380952381,2024,09,30,21
Code,607,2614,27.14166666666666,2024,09,30,22
wemeetapp,4,11,1.0,2024,09,30,18
wemeetapp,0,445,9.68452380952381,2024,09,30,19
wemeetapp,0,2,0.1666666666666666,2024,09,30,21
wemeetapp,4,23,0.775,2024,09,30,22
QQ,37,17,0.8333333333333333,2024,09,30,09
QQ,58,205,2.95,2024,09,30,10
QQ,0,3,0.6666666666666666,2024,09,30,11
QQ,85,158,1.3333333333333333,2024,09,30,12
QQ,0,11,0.1428571428571428,2024,09,30,16
QQ,0,30,1.6595238095238096,2024,09,30,18
QQ,4,22,1.3583333333333334,2024,09,30,19
QQ,4,13,0.7,2024,09,30,20
QQ,0,2,0.3095238095238095,2024,09,30,21
QQ,24,34,0.7,2024,09,30,22
WeChat,1,232,1.75,2024,09,30,11
WeChat,0,38,0.5333333333333333,2024,09,30,12
WeChat,1,130,0.5333333333333333,2024,09,30,16
WeChat,0,135,0.5333333333333333,2024,09,30,17
WeChat,1990,173,6.009523809523811,2024,09,30,18
WeChat,2704,412,11.551190476190476,2024,09,30,19
WeChat,495,197,5.65,2024,09,30,20
WeChat,3,100,1.2095238095238094,2024,09,30,21
WeChat,321,123,3.725,2024,09,30,22
WeChat,0,3,0.5,2024,09,30,23
Typora,18,25,1.25,2024,09,30,10
Typora,0,15,0.45,2024,09,30,11
wps,0,2,0.25,2024,09,30,10
wps,28,46,0.25,2024,09,30,11
wps,0,1,0.1666666666666666,2024,09,30,12
wps,0,9,0.8333333333333333,2024,09,30,20
SysDefault,2,2,2.5,2024,09,30,00
SysDefault,0,38,2.2,2024,09,30,09
SysDefault,0,25,4.533333333333333,2024,09,30,10
SysDefault,0,22,2.533333333333333,2024,09,30,11
SysDefault,0,23,2.8666666666666667,2024,09,30,12
SysDefault,0,29,1.2595238095238095,2024,09,30,16
SysDefault,0,2,0.6666666666666666,2024,09,30,17
SysDefault,5,122,9.17619047619048,2024,09,30,18
SysDefault,1,95,11.001190476190471,2024,09,30,19
SysDefault,0,33,4.483333333333333,2024,09,30,20
SysDefault,0,38,3.35952380952381,2024,09,30,21
SysDefault,0,137,10.125,2024,09,30,22
msedge,0,6,2.7,2024,09,30,23
msedge,45,296,4.583333333333333,2024,10,01,20
msedge,0,276,1.4999999999999998,2024,10,01,21
msedge,7,14,0.7,2024,10,01,22
msedge,0,18,1.75,2024,10,01,23
LockApp,0,1,0.2,2024,10,01,20
